                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6202,                  2.353,                 1.2439,                0.53033,                0.22496,                0.21262,                0.12572,                 1.4246,                 1.3439,                 1.1206,              0.0033261,              0.0033261,              0.0033261
                      2,                 1.4381,                 1.4986,                 1.1538,                0.44433,                 0.2939,                0.28196,                0.16875,                 1.3439,                 1.2304,                 1.0919,              0.0065936,              0.0065936,              0.0065936
                      3,                 1.4358,                 1.3773,                 1.1533,                0.48224,                0.30786,                0.29959,                0.17484,                 1.3762,                 1.2256,                 1.1064,               0.009795,               0.009795,               0.009795
                      4,                 1.4045,                 1.2744,                 1.1432,                0.44887,                0.33226,                0.32795,                0.19388,                 1.3026,                  1.233,                 1.1041,               0.009703,               0.009703,               0.009703
                      5,                  1.363,                 1.1669,                 1.1288,                0.47216,                0.39498,                0.37188,                0.22306,                 1.2602,                 1.0278,                 1.0738,               0.009604,               0.009604,               0.009604
                      6,                 1.3234,                 1.0889,                 1.1199,                0.61337,                0.37305,                0.41405,                0.24756,                 1.2531,                0.96547,                  1.076,               0.009505,               0.009505,               0.009505
                      7,                 1.3022,                 1.0405,                 1.1104,                0.61227,                0.38265,                0.43383,                0.26757,                 1.2381,                0.96304,                 1.0713,               0.009406,               0.009406,               0.009406
                      8,                 1.2792,                 1.0028,                 1.1023,                0.56653,                0.44495,                0.48027,                0.29047,                 1.2022,                0.88845,                 1.0512,               0.009307,               0.009307,               0.009307
                      9,                 1.2707,                0.97863,                 1.0956,                0.61003,                  0.448,                0.48089,                0.29077,                 1.1836,                0.88047,                 1.0447,               0.009208,               0.009208,               0.009208
                     10,                 1.2423,                 0.9449,                 1.0875,                0.58012,                0.47069,                0.50689,                0.30725,                 1.1774,                0.86223,                 1.0475,               0.009109,               0.009109,               0.009109
                     11,                 1.2363,                0.93137,                 1.0839,                0.59776,                0.48693,                0.53053,                0.32104,                 1.1754,                 0.8429,                 1.0483,                0.00901,                0.00901,                0.00901
                     12,                 1.2168,                0.90888,                 1.0791,                0.64681,                0.49939,                0.55726,                0.34006,                 1.1465,                0.80988,                 1.0295,               0.008911,               0.008911,               0.008911
                     13,                 1.2078,                0.89122,                 1.0761,                 0.6478,                 0.5063,                0.56663,                0.34784,                 1.1416,                 0.7989,                 1.0229,               0.008812,               0.008812,               0.008812
                     14,                 1.2058,                0.89077,                 1.0723,                0.64655,                0.53558,                0.57776,                0.36283,                 1.1248,                 0.7861,                 1.0136,               0.008713,               0.008713,               0.008713
                     15,                 1.1922,                0.86504,                  1.067,                0.74365,                0.51483,                0.60154,                0.38009,                 1.1128,                0.76694,                 1.0208,               0.008614,               0.008614,               0.008614
                     16,                 1.1781,                0.85631,                 1.0603,                0.69068,                0.53388,                0.60029,                0.37426,                 1.1108,                0.76965,                 1.0119,               0.008515,               0.008515,               0.008515
                     17,                 1.1693,                0.84127,                 1.0567,                 0.7173,                0.56061,                0.62655,                0.40027,                 1.0942,                0.74817,                 1.0101,               0.008416,               0.008416,               0.008416
                     18,                 1.1646,                0.83309,                 1.0555,                0.78013,                0.55215,                0.63355,                0.40196,                 1.0902,                0.74324,                 1.0059,               0.008317,               0.008317,               0.008317
                     19,                  1.164,                0.82943,                  1.053,                 0.6823,                0.56023,                0.63021,                0.39733,                  1.089,                0.74012,                  1.005,               0.008218,               0.008218,               0.008218
                     20,                 1.1446,                 0.8115,                 1.0496,                0.67879,                0.57568,                 0.6368,                0.41407,                  1.082,                0.72189,                 1.0042,               0.008119,               0.008119,               0.008119
                     21,                 1.1436,                0.80877,                 1.0469,                 0.7442,                  0.575,                0.65449,                0.42266,                 1.0589,                0.71514,                0.99519,                0.00802,                0.00802,                0.00802
                     22,                 1.1378,                0.80323,                 1.0453,                0.71474,                 0.5952,                0.64829,                0.42112,                 1.0516,                0.69801,                0.98615,               0.007921,               0.007921,               0.007921
                     23,                 1.1243,                0.79015,                 1.0376,                 0.7222,                0.59305,                 0.6561,                0.42593,                 1.0476,                 0.6975,                0.98412,               0.007822,               0.007822,               0.007822
                     24,                 1.1255,                0.78561,                 1.0405,                 0.8021,                0.58317,                0.68746,                0.44805,                 1.0468,                0.68965,                0.98875,               0.007723,               0.007723,               0.007723
                     25,                 1.1173,                0.77598,                 1.0331,                0.71705,                0.63007,                0.69325,                0.45414,                 1.0354,                0.68004,                0.98127,               0.007624,               0.007624,               0.007624
                     26,                 1.1101,                0.77263,                 1.0321,                0.75784,                0.62031,                0.69312,                0.45571,                 1.0327,                0.67831,                0.98021,               0.007525,               0.007525,               0.007525
                     27,                 1.0995,                0.76431,                 1.0277,                0.72324,                0.64503,                0.69258,                0.45116,                 1.0206,                0.66585,                0.97066,               0.007426,               0.007426,               0.007426
                     28,                 1.1034,                0.76014,                 1.0292,                0.82398,                0.61989,                0.70929,                0.46444,                 1.0149,                0.66148,                0.97415,               0.007327,               0.007327,               0.007327
                     29,                 1.0997,                0.75931,                 1.0273,                0.83529,                0.62607,                0.71279,                0.46937,                 1.0101,                0.65619,                0.97054,               0.007228,               0.007228,               0.007228
                     30,                 1.0866,                0.74482,                 1.0214,                0.76997,                0.64053,                0.71788,                0.47193,                 1.0007,                0.64655,                0.96861,               0.007129,               0.007129,               0.007129
                     31,                 1.0834,                0.73951,                 1.0216,                0.81376,                0.64339,                0.72807,                0.47592,                 1.0017,                0.64258,                0.96965,                0.00703,                0.00703,                0.00703
                     32,                 1.0802,                0.74067,                 1.0179,                0.81809,                0.63569,                0.72837,                0.47975,                0.99455,                0.64651,                0.96444,               0.006931,               0.006931,               0.006931
                     33,                 1.0707,                0.72873,                 1.0148,                 0.8129,                0.65417,                 0.7375,                0.49152,                0.98006,                0.63305,                0.95925,               0.006832,               0.006832,               0.006832
                     34,                 1.0694,                0.73289,                 1.0174,                0.80153,                0.64689,                  0.735,                0.48804,                0.98389,                0.62989,                0.95891,               0.006733,               0.006733,               0.006733
                     35,                 1.0666,                0.72059,                 1.0105,                0.78518,                0.66708,                0.73391,                0.49371,                0.97589,                0.62864,                0.95327,               0.006634,               0.006634,               0.006634
                     36,                 1.0612,                0.72101,                 1.0118,                 0.8051,                0.68182,                0.74968,                0.49925,                0.97076,                0.62096,                0.95863,               0.006535,               0.006535,               0.006535
                     37,                 1.0583,                 0.7179,                 1.0099,                0.83534,                0.66776,                0.74636,                0.49895,                0.95953,                0.61593,                0.95274,               0.006436,               0.006436,               0.006436
                     38,                 1.0525,                 0.7117,                 1.0063,                 0.8399,                0.67684,                0.75929,                0.51301,                0.95939,                0.61191,                0.95222,               0.006337,               0.006337,               0.006337
                     39,                 1.0428,                0.70532,                 1.0004,                0.76742,                0.71052,                0.75476,                 0.5116,                0.95442,                0.60528,                0.94793,               0.006238,               0.006238,               0.006238
                     40,                 1.0446,                0.70279,                 1.0042,                0.78586,                0.71038,                0.75229,                0.51109,                0.94434,                0.59547,                0.94231,               0.006139,               0.006139,               0.006139
                     41,                 1.0381,                0.69865,                0.99909,                0.85085,                 0.6831,                0.76097,                0.51865,                0.93731,                0.59446,                 0.9407,                0.00604,                0.00604,                0.00604
                     42,                 1.0328,                0.69446,                0.99974,                0.84398,                0.67359,                0.76614,                0.51901,                0.93404,                 0.5939,                 0.9397,               0.005941,               0.005941,               0.005941
                     43,                 1.0311,                0.69106,                0.99716,                0.82647,                0.70967,                0.77537,                0.52514,                0.93682,                0.58946,                 0.9414,               0.005842,               0.005842,               0.005842
                     44,                 1.0292,                0.68572,                 0.9944,                0.86638,                 0.7035,                0.77592,                0.53212,                 0.9243,                0.58361,                0.93635,               0.005743,               0.005743,               0.005743
                     45,                 1.0218,                0.68498,                0.99208,                0.83841,                0.70099,                0.77436,                0.53122,                 0.9248,                 0.5844,                0.93242,               0.005644,               0.005644,               0.005644
                     46,                 1.0195,                0.68372,                0.99203,                0.84888,                0.70326,                0.78295,                0.54008,                 0.9119,                0.57601,                 0.9276,               0.005545,               0.005545,               0.005545
                     47,                 1.0146,                0.67528,                0.98742,                0.84485,                0.69711,                0.78523,                0.54153,                0.91228,                0.57246,                0.93154,               0.005446,               0.005446,               0.005446
                     48,                 1.0122,                0.67326,                0.98929,                0.83343,                 0.7173,                0.78468,                  0.547,                0.90282,                0.56747,                0.92909,               0.005347,               0.005347,               0.005347
                     49,                 1.0106,                0.67186,                0.98898,                0.81846,                0.71643,                0.78011,                0.54458,                0.90241,                0.56424,                0.92769,               0.005248,               0.005248,               0.005248
                     50,                  1.005,                0.66435,                0.98473,                0.83321,                0.72229,                0.78909,                0.55078,                0.89109,                0.56065,                0.92095,               0.005149,               0.005149,               0.005149
                     51,                0.99796,                0.66631,                  0.986,                0.84052,                0.71331,                0.78446,                0.54979,                0.89109,                0.56065,                0.92446,                0.00505,                0.00505,                0.00505
                     52,                0.99262,                0.65893,                0.98298,                0.86161,                0.71828,                0.79074,                0.55173,                0.89165,                0.55921,                0.92096,               0.004951,               0.004951,               0.004951
                     53,                0.99726,                0.65952,                0.98078,                0.88216,                 0.7055,                0.80059,                0.55785,                0.88919,                0.55391,                0.92092,               0.004852,               0.004852,               0.004852
                     54,                0.99856,                0.65758,                0.97994,                0.85818,                0.71687,                0.79742,                0.56357,                0.88182,                0.55001,                0.91586,               0.004753,               0.004753,               0.004753
                     55,                0.99269,                0.65576,                0.98024,                 0.8817,                0.70055,                0.79553,                0.56187,                0.88159,                0.54927,                0.91631,               0.004654,               0.004654,               0.004654
                     56,                0.98132,                0.64445,                0.97607,                0.86629,                0.72084,                0.79628,                 0.5641,                0.87747,                0.54594,                0.91645,               0.004555,               0.004555,               0.004555
                     57,                0.97866,                0.64657,                0.97733,                0.81522,                0.74935,                0.79948,                0.56629,                0.87383,                0.54313,                0.91458,               0.004456,               0.004456,               0.004456
                     58,                0.98119,                0.64721,                0.97668,                0.84289,                0.74004,                 0.8054,                0.57366,                0.86625,                0.53921,                  0.913,               0.004357,               0.004357,               0.004357
                     59,                0.97684,                0.64654,                 0.9771,                 0.8411,                0.72896,                0.80227,                0.57074,                0.86588,                0.53767,                0.91332,               0.004258,               0.004258,               0.004258
                     60,                0.97232,                 0.6387,                0.97506,                0.86843,                 0.7211,                0.80145,                0.57188,                0.85991,                0.53654,                0.90933,               0.004159,               0.004159,               0.004159
                     61,                0.96822,                0.63336,                0.96872,                0.82245,                0.75807,                0.80348,                0.57675,                0.85516,                 0.5321,                0.90746,                0.00406,                0.00406,                0.00406
                     62,                0.95978,                0.63021,                0.97021,                0.83983,                0.76262,                0.81064,                0.57898,                0.85005,                0.53019,                0.90662,               0.003961,               0.003961,               0.003961
                     63,                0.96237,                0.62904,                0.96783,                0.84573,                0.75275,                0.80628,                0.57923,                0.84713,                0.52706,                 0.9032,               0.003862,               0.003862,               0.003862
                     64,                0.95795,                0.62679,                0.96802,                0.85142,                 0.7515,                0.81151,                0.58397,                0.84442,                  0.523,                0.90399,               0.003763,               0.003763,               0.003763
                     65,                0.95818,                0.62829,                0.96822,                0.87043,                0.74686,                0.81219,                0.58503,                0.84283,                0.52542,                0.90355,               0.003664,               0.003664,               0.003664
                     66,                0.95923,                0.62588,                0.96696,                0.85533,                 0.7526,                0.80993,                0.58705,                0.84233,                0.52323,                0.90438,               0.003565,               0.003565,               0.003565
                     67,                0.95401,                0.62201,                0.96604,                0.86908,                0.74214,                0.80888,                  0.586,                0.83862,                0.52009,                0.90294,               0.003466,               0.003466,               0.003466
                     68,                0.94587,                0.61679,                0.96643,                 0.8374,                0.75378,                 0.8112,                 0.5881,                0.83322,                0.51652,                0.90095,               0.003367,               0.003367,               0.003367
                     69,                0.93925,                0.61057,                0.96028,                0.85617,                0.74321,                 0.8095,                0.59138,                0.83131,                0.51581,                0.89844,               0.003268,               0.003268,               0.003268
                     70,                0.94234,                0.61285,                0.96141,                0.86056,                0.74271,                0.81303,                0.58963,                  0.826,                0.51387,                0.89595,               0.003169,               0.003169,               0.003169
                     71,                 0.9379,                0.60916,                0.96023,                0.85577,                0.75131,                0.81789,                 0.5942,                0.82516,                  0.512,                0.89499,                0.00307,                0.00307,                0.00307
                     72,                0.94151,                0.61148,                0.96246,                0.85179,                0.76486,                0.81953,                0.59904,                0.82175,                0.51077,                0.89426,               0.002971,               0.002971,               0.002971
                     73,                0.93659,                0.60648,                0.95795,                0.86133,                0.75985,                0.81836,                0.59375,                0.82053,                 0.5086,                0.89451,               0.002872,               0.002872,               0.002872
                     74,                0.93019,                0.60326,                0.95692,                0.84088,                0.76854,                0.82244,                0.60229,                 0.8156,                0.50574,                0.89303,               0.002773,               0.002773,               0.002773
                     75,                0.92842,                0.60218,                0.95467,                0.83714,                0.77827,                0.82492,                0.60468,                0.81499,                0.50216,                 0.8921,               0.002674,               0.002674,               0.002674
                     76,                0.92653,                  0.598,                0.95377,                0.85479,                0.76488,                0.82433,                0.60417,                0.81279,                0.50226,                0.89015,               0.002575,               0.002575,               0.002575
                     77,                0.91883,                0.59212,                 0.9521,                0.84928,                  0.776,                 0.8287,                0.60781,                 0.8122,                0.49974,                0.89037,               0.002476,               0.002476,               0.002476
                     78,                0.91751,                 0.5914,                0.95046,                0.83835,                0.78188,                0.82959,                 0.6108,                0.80901,                0.49899,                0.88925,               0.002377,               0.002377,               0.002377
                     79,                0.91623,                0.59209,                0.94873,                0.87886,                0.75989,                0.82903,                0.61165,                 0.8068,                0.49721,                0.88764,               0.002278,               0.002278,               0.002278
                     80,                0.91184,                0.59147,                 0.9528,                0.89356,                0.75945,                0.83149,                0.61638,                0.80429,                0.49522,                0.88662,               0.002179,               0.002179,               0.002179
                     81,                0.91787,                0.59351,                0.95113,                0.87011,                0.76487,                0.83026,                 0.6159,                0.80527,                0.49585,                 0.8866,                0.00208,                0.00208,                0.00208
                     82,                0.91012,                0.58865,                0.95023,                0.84237,                0.77753,                0.83048,                0.61596,                0.80518,                0.49419,                0.88642,               0.001981,               0.001981,               0.001981
                     83,                0.90401,                0.58278,                 0.9463,                0.88692,                0.75679,                0.82949,                0.61638,                0.80112,                0.49115,                0.88622,               0.001882,               0.001882,               0.001882
